second,Volt,Volt
-5.4640E-03,+136.6834E-03,-723.6E-06
-5.4540E-03,+136.6834E-03,-321.6E-06
-5.4440E-03,+136.6834E-03,-321.6E-06
-5.4340E-03,+128.6432E-03,-402.0E-06
-5.4240E-03,+128.6432E-03,-562.8E-06
-5.4140E-03,+120.6030E-03,-402.0E-06
-5.4040E-03,+128.6432E-03,-723.6E-06
-5.3940E-03,+120.6030E-03,-241.2E-06
-5.3840E-03,+120.6030E-03,-160.8E-06
-5.3740E-03,+112.5628E-03,-884.4E-06
-5.3640E-03,+112.5628E-03,-643.2E-06
-5.3540E-03,+96.4824E-03,-402.0E-06
-5.3440E-03,+104.5226E-03,-643.2E-06
-5.3340E-03,+96.4824E-03,-723.6E-06
-5.3240E-03,+96.4824E-03,-723.6E-06
-5.3140E-03,+96.4824E-03,-241.2E-06
-5.3040E-03,+88.4422E-03,-562.8E-06
-5.2940E-03,+88.4422E-03,-964.8E-06
-5.2840E-03,+80.4020E-03,-964.8E-06
-5.2740E-03,+80.4020E-03,-643.2E-06
-5.2640E-03,+80.4020E-03,-482.4E-06
-5.2540E-03,+72.3618E-03,-562.8E-06
-5.2440E-03,+72.3618E-03,-884.4E-06
-5.2340E-03,+72.3618E-03,-723.6E-06
-5.2240E-03,+64.3216E-03,-723.6E-06
-5.2140E-03,+64.3216E-03,-562.8E-06
-5.2040E-03,+64.3216E-03,-723.6E-06
-5.1940E-03,+56.2814E-03,-402.0E-06
-5.1840E-03,+56.2814E-03,-643.2E-06
-5.1740E-03,+48.2412E-03,-643.2E-06
-5.1640E-03,+48.2412E-03,-562.8E-06
-5.1540E-03,+48.2412E-03,-643.2E-06
-5.1440E-03,+48.2412E-03,-884.4E-06
-5.1340E-03,+40.2010E-03,-643.2E-06
-5.1240E-03,+40.2010E-03,-643.2E-06
-5.1140E-03,+40.2010E-03,-723.6E-06
-5.1040E-03,+40.2010E-03,-723.6E-06
-5.0940E-03,+24.1206E-03,-884.4E-06
-5.0840E-03,+24.1206E-03,-804.0E-06
-5.0740E-03,+16.0804E-03,-643.2E-06
-5.0640E-03,+16.0804E-03,-482.4E-06
-5.0540E-03,+24.1206E-03,-884.4E-06
-5.0440E-03,+16.0804E-03,-804.0E-06
-5.0340E-03,+16.0804E-03,-1.0452E-03
-5.0240E-03,+8.0402E-03,-884.4E-06
-5.0140E-03,+0.0E+00,-804.0E-06
-5.0040E-03,+8.0402E-03,-723.6E-06
-4.9940E-03,+8.0402E-03,-804.0E-06
-4.9840E-03,-8.0402E-03,-562.8E-06
-4.9740E-03,-8.0402E-03,-723.6E-06
-4.9640E-03,-8.0402E-03,-964.8E-06
-4.9540E-03,-16.0804E-03,-804.0E-06
-4.9440E-03,-16.0804E-03,-1.0452E-03
-4.9340E-03,-24.1206E-03,-1.2060E-03
-4.9240E-03,-24.1206E-03,-1.3668E-03
-4.9140E-03,-24.1206E-03,-1.0452E-03
-4.9040E-03,-24.1206E-03,-1.2864E-03
-4.8940E-03,-32.1608E-03,-1.3668E-03
-4.8840E-03,-32.1608E-03,-1.6080E-03
-4.8740E-03,-40.2010E-03,-1.3668E-03
-4.8640E-03,-40.2010E-03,-1.8492E-03
-4.8540E-03,-40.2010E-03,-1.6080E-03
-4.8440E-03,-48.2412E-03,-1.5276E-03
-4.8340E-03,-48.2412E-03,-1.4472E-03
-4.8240E-03,-48.2412E-03,-1.5276E-03
